customerID,orderDate,orderID,orderValue
96a,14/02/2024,d0006,378
19b,27/09/2024,d0090,699
99z,18/04/2024,d0293,91
29r,02/01/2024,d0328,4
05g,25/06/2024,d0363,21
03i,11/03/2024,d0895,605
97g,30/08/2024,d1147,2
87q,23/05/2024,d1175,101
29r,06/10/2024,d1392,269
15a,15/07/2024,d1476,70
47c,28/11/2024,d1560,542
00l,09/02/2024,d1602,804
33i,22/08/2024,d1770,2
85a,04/04/2024,d1833,34
63i,17/06/2024,d1931,1253
67g,01/09/2024,d2008,49
19b,24/03/2024,d2085,29
37i,13/10/2024,d2274,866
05p,07/05/2024,d2295,121
14r,20/01/2024,d2330,409
89i,16/11/2024,d2645,40
37i,03/07/2024,d2652,200
97g,26/04/2024,d2673,1044
97g,10/08/2024,d2869,233
15a,19/02/2024,d2988,4252
67g,31/12/2024,d3058,100
19b,12/06/2024,d3086,5
52o,05/03/2024,d3100,1108
36o,29/10/2024,d3191,332
67g,21/09/2024,d3219,57
67g,08/04/2024,d3310,1770
87q,25/01/2024,d3317,243
46b,14/10/2024,d3331,31
85a,02/06/2024,d3366,150
24m,27/03/2024,d3373,780
69a,11/09/2024,d3401,13
68b,18/07/2024,d3429,765
15a,04/11/2024,d3492,1489
15a,23/02/2024,d3527,11
42b,06/05/2024,d3590,62
32v,15/03/2024,d3660,1008
32v,28/06/2024,d3702,64
31m,09/11/2024,d3744,11
19b,22/01/2024,d3800,16
37i,17/09/2024,d3807,21
24m,01/04/2024,d3849,225
19b,24/10/2024,d3940,261
19b,13/08/2024,d3989,591
37i,07/12/2024,d4178,176
